"varName","true_value"
"alpha[1]",0.0361892202723021
"alpha[2]",0.295889516794678
"alpha[3]",-1.59213921601078
"alpha[4]",-0.766013267345212
"beta[1]",2.02505844486525
"beta[2]",3.06048958348872
"beta[3]",1.73325268848559
"beta[4]",1.93522229537241
"beta[5]",-0.368679191959735
"beta[6]",2.56206480958568
"gamma[1]",0.361097960947029
"gamma[2]",0.448297293452489
"gamma[3]",1.26187598378965
"gamma[4]",2.07195512113517
"gamma[5]",1.26334240161756
"gamma[6]",0.402556228487078
"mu_beta",2.74210815151516
"sigma_beta",1.15493169109965
"sigma_gamma",1.19358768412033
