"varName","true_value"
"mu[1]",59.330238663499
"mu[2]",-54.4738846011364
"mu[3]",84.1822157573137
"mu[4]",-64.1586219750861
"mu[5]",-214.446574660207
"mu[6]",-19.1479664599414
"sigma[1]",26.2461702581542
"sigma[2]",15.3517897254507
"sigma[3]",14.3831602958021
"sigma[4]",8.18989062551211
"sigma[5]",3.49575794721478
"sigma[6]",20.7559185530185
"beta[1,1]",73.4084445894163
"beta[2,1]",42.0126105886596
"beta[3,1]",84.9354368538653
"beta[4,1]",52.1034738955225
"beta[1,2]",-43.3476026277759
"beta[2,2]",-53.7960476694449
"beta[3,2]",-75.7963595589528
"beta[4,2]",-51.7441998884472
"beta[1,3]",78.0050252787808
"beta[2,3]",59.6848474445879
"beta[3,3]",111.952859999057
"beta[4,3]",100.724014941005
"beta[1,4]",-68.7083116322054
"beta[2,4]",-65.9263334255161
"beta[3,4]",-73.3979863675078
"beta[4,4]",-67.700166148476
"beta[1,5]",-219.13686449325
"beta[2,5]",-214.181982578852
"beta[3,5]",-214.915998976174
"beta[4,5]",-216.343901337896
"beta[1,6]",-28.3653384787648
"beta[2,6]",-12.7962361583153
"beta[3,6]",-1.45372701633566
"beta[4,6]",-1.85548442727313
