"varName","true_value"
"beta[1,1]",2.96651193317495
"beta[2,1]",-2.72369423005682
"beta[3,1]",4.20911078786569
"beta[4,1]",-3.20793109875431
"beta[5,1]",-10.7223287330103
"beta[6,1]",-0.957398322997071
"beta[1,2]",3.95322110500031
"beta[2,2]",0.142785232806299
"beta[3,2]",-0.254467309860402
"beta[4,2]",-0.349134281902234
"beta[5,2]",1.18497050583321
"beta[6,2]",-6.33495520676108
"beta[1,3]",8.26308531480764
"beta[2,3]",3.13685088316991
"beta[3,3]",1.83345516468005
"beta[4,3]",-5.30831571431698
"beta[5,3]",3.51292234023873
"beta[6,3]",1.03292154757106
